deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
-10.385,0.2079,0.1573,0.1458,0.1311,0.1207,0.098,0.0888,0.0786,0.0662,0.0524,0.0439,0.0337,0.0263,0.0187,0.0196
-10.071,0.2085,0.159,0.1451,0.1313,0.1193,0.0972,0.0885,0.0785,0.066,0.0522,0.0439,0.0339,0.0262,0.019,0.0175
-9.756,0.2111,0.1599,0.1442,0.1322,0.1187,0.0977,0.0883,0.0783,0.0665,0.0519,0.044,0.0335,0.0256,0.0163,0.0168
-9.441,0.2144,0.1605,0.1443,0.1327,0.1176,0.0986,0.0889,0.0786,0.0664,0.0519,0.0439,0.0331,0.0254,0.0169,0.0188
-9.126,0.2186,0.1614,0.1438,0.1304,0.1178,0.0993,0.089,0.0785,0.0664,0.0511,0.0436,0.0331,0.0252,0.0169,0.0185
-8.812,0.219,0.1612,0.1436,0.1295,0.1183,0.0993,0.0884,0.0778,0.0661,0.052,0.0438,0.0333,0.0255,0.0165,0.0189
-8.497,0.2197,0.1607,0.1436,0.129,0.1179,0.0994,0.0881,0.078,0.0663,0.0513,0.0437,0.0338,0.0259,0.0165,0.0172
-8.182,0.2224,0.1598,0.1449,0.1279,0.1171,0.0986,0.0876,0.0773,0.0667,0.0505,0.0438,0.0334,0.0252,0.0164,0.0178
-7.868,0.2254,0.1598,0.1456,0.1277,0.1167,0.0986,0.0883,0.0785,0.0664,0.0499,0.0436,0.0332,0.0251,0.0195,0.0169
-7.553,0.2288,0.1593,0.1436,0.1261,0.1165,0.0977,0.088,0.0777,0.0662,0.0496,0.0437,0.0335,0.0253,0.021,0.0166
-7.238,0.2295,0.1606,0.1428,0.1243,0.1153,0.0966,0.0875,0.0773,0.0666,0.0474,0.0437,0.0338,0.0258,0.0229,0.0181
-6.924,0.2306,0.1607,0.1424,0.1221,0.1147,0.0966,0.0879,0.0774,0.0667,0.045,0.0436,0.0336,0.0256,0.0233,0.0193
-6.609,0.2308,0.1615,0.1414,0.1209,0.1139,0.0974,0.0884,0.0776,0.0667,0.0429,0.0434,0.0335,0.0255,0.0209,0.0193
-6.294,0.2336,0.1606,0.1395,0.12,0.1124,0.0979,0.0888,0.0782,0.0665,0.0427,0.043,0.0334,0.0255,0.0189,0.0187
-5.979,0.2342,0.1582,0.1374,0.1203,0.1116,0.0981,0.0885,0.078,0.0661,0.0435,0.0431,0.0334,0.0254,0.0174,0.0186
-5.665,0.2317,0.1574,0.1352,0.1211,0.1105,0.0973,0.0878,0.0776,0.0663,0.045,0.0428,0.0336,0.0255,0.0165,0.0186
-5.35,0.2283,0.1578,0.1326,0.1212,0.1106,0.0972,0.0878,0.0776,0.0662,0.047,0.043,0.0338,0.0259,0.0163,0.0183
-5.035,0.2271,0.1564,0.1311,0.1223,0.1111,0.0968,0.088,0.0777,0.0664,0.0493,0.0432,0.0345,0.0264,0.0166,0.0185
-4.721,0.2272,0.1547,0.1303,0.1204,0.1108,0.0964,0.0875,0.0777,0.0667,0.0522,0.0429,0.0355,0.0272,0.0176,0.0202
-4.406,0.223,0.1519,0.1307,0.1201,0.1112,0.0958,0.0869,0.0778,0.0668,0.0542,0.0431,0.0352,0.0266,0.019,0.0195
-4.091,0.219,0.148,0.1316,0.1206,0.1097,0.0949,0.0863,0.0779,0.0655,0.0551,0.0434,0.0348,0.026,0.0208,0.0174
-3.776,0.218,0.1446,0.1324,0.1208,0.1091,0.0936,0.0848,0.0767,0.0656,0.0541,0.0433,0.0348,0.0261,0.0204,0.0174
-3.462,0.2156,0.1438,0.1331,0.1209,0.1098,0.093,0.0843,0.0758,0.0651,0.0547,0.0432,0.0356,0.027,0.0183,0.0178
-3.147,0.2139,0.1429,0.1314,0.1212,0.1102,0.093,0.0834,0.0756,0.0662,0.0551,0.0432,0.0365,0.0276,0.0178,0.0182
-2.832,0.2137,0.1434,0.1297,0.1215,0.1104,0.0918,0.0836,0.075,0.0666,0.0559,0.0431,0.0361,0.0269,0.0194,0.0204
-2.518,0.2131,0.1446,0.1308,0.1211,0.1108,0.093,0.0841,0.0763,0.0667,0.0556,0.043,0.0361,0.0272,0.0219,0.0207
-2.203,0.2135,0.1448,0.1312,0.1205,0.1109,0.0928,0.0842,0.0764,0.0667,0.0559,0.0433,0.0364,0.0271,0.0192,0.0185
-1.888,0.2146,0.145,0.131,0.1208,0.1104,0.0929,0.0843,0.0764,0.0675,0.0564,0.0442,0.0373,0.0281,0.0201,0.0184
-1.574,0.215,0.1438,0.1313,0.1208,0.1103,0.0933,0.085,0.0767,0.0682,0.0567,0.045,0.0375,0.0285,0.0207,0.019
-1.259,0.2159,0.1417,0.1313,0.1203,0.1108,0.0942,0.0859,0.0777,0.0684,0.0567,0.0454,0.0376,0.0283,0.0196,0.0194
-0.944,0.2147,0.1446,0.1309,0.1194,0.1112,0.0948,0.0862,0.0783,0.0684,0.0565,0.0447,0.0378,0.0287,0.0211,0.0186
-0.629,0.2139,0.1449,0.13,0.1184,0.1109,0.0948,0.086,0.0782,0.0686,0.0573,0.0445,0.0376,0.0284,0.0188,0.0198
-0.315,0.2136,0.1439,0.1304,0.1168,0.1099,0.0945,0.0862,0.078,0.0689,0.0574,0.0447,0.0378,0.0283,0.0195,0.0187
0.0,0.2116,0.1433,0.1304,0.1153,0.1088,0.0948,0.0863,0.0784,0.0689,0.0566,0.0459,0.0383,0.0293,0.0222,0.0188
0.315,0.209,0.1423,0.13,0.1137,0.1077,0.0949,0.0863,0.0784,0.0685,0.0566,0.0459,0.0379,0.029,0.0201,0.0188
0.629,0.2067,0.1417,0.129,0.1123,0.1067,0.0947,0.0861,0.0784,0.0683,0.0562,0.0459,0.0375,0.0279,0.0187,0.0195
0.944,0.2047,0.1415,0.1276,0.1111,0.1054,0.0942,0.0858,0.078,0.0681,0.0559,0.0463,0.0374,0.0277,0.0187,0.019
1.259,0.2023,0.142,0.1257,0.1098,0.1042,0.094,0.0856,0.0778,0.0675,0.0555,0.0469,0.0374,0.0285,0.0188,0.0186
1.574,0.2004,0.1424,0.1244,0.1085,0.1031,0.0932,0.0847,0.0772,0.0667,0.0545,0.0475,0.0369,0.0279,0.0182,0.0195
1.888,0.1986,0.142,0.1228,0.1072,0.1021,0.0921,0.0838,0.0765,0.0658,0.054,0.0475,0.0364,0.0271,0.0188,0.0188
2.203,0.1965,0.141,0.1213,0.1063,0.1008,0.0912,0.0828,0.0755,0.0652,0.0533,0.0477,0.0361,0.0271,0.0184,0.0196
2.518,0.194,0.1397,0.12,0.1051,0.0995,0.0903,0.082,0.0747,0.0642,0.0524,0.0478,0.0357,0.0265,0.0187,0.0194
2.832,0.1925,0.1375,0.1185,0.1038,0.0984,0.0893,0.0809,0.0738,0.0633,0.0514,0.0479,0.0351,0.0262,0.0183,0.02
3.147,0.1903,0.136,0.1172,0.1026,0.0974,0.0881,0.0797,0.0728,0.0625,0.0509,0.0483,0.0345,0.0257,0.0187,0.0176
3.462,0.1869,0.1342,0.1159,0.1015,0.0961,0.0868,0.0787,0.0716,0.0618,0.0503,0.0482,0.0342,0.0258,0.0169,0.0182
3.776,0.186,0.1328,0.1145,0.1007,0.0952,0.0863,0.0784,0.0709,0.0608,0.0496,0.0475,0.0339,0.0254,0.0189,0.0196
